,phrase,label,sentiment,subjectivity,language,count
Roman Vilfand,Roman Vilfand,PERSON,-0.1,0.1,en,5.0
Veliky Ustyug,Veliky Ustyug,PERSON,0.10765550239234449,0.3588516746411483,en,3.8
Evgeny Tishkovets,Evgeny Tishkovets,PERSON,-0.19444444444444442,0.38888888888888884,en,1.8
Denis Moroz,Denis Moroz,PERSON,-0.08823529411764701,0.49019607843137253,en,1.7
RIA Novosti,RIA Novosti,PERSON,0.021390374331550794,0.32620320855614976,en,1.7
Anna Mongait,Anna Mongait,PERSON,0.0,0.0,en,1.3
Ksenia Larina,Ksenia Larina,PERSON,0.5384615384615384,0.6923076923076923,en,1.3
Alexander Plyushchev,Alexander Plyushchev,PERSON,0.0,0.0,en,1.3
Alexander Lukashenko,Alexander Lukashenko,PERSON,0.0,0.0,en,1.0
Vladimir Putin,Vladimir Putin,PERSON,0.0,0.0,en,1.0
Tatyana Savinova,Tatyana Savinova,PERSON,0.1,0.4,en,1.0
Sergei Sobyanin,Sergei Sobyanin,PERSON,0.0,0.0,en,1.0
Victoria Tenishcheva,Victoria Tenishcheva,PERSON,0.08614718614718615,0.5554112554112554,en,1.0
Andrey Vorobyov,Andrey Vorobyov,PERSON,0.5,0.5,en,1.0
Michael Knuckey,Michael Knuckey,PERSON,0.0,0.0,en,1.0
Cyclone Ulli,Cyclone Ulli,PERSON,0.0,0.0,en,1.0
Vyacheslav Fetisov,Vyacheslav Fetisov,PERSON,0.0,0.0,en,1.0
Tatyana Ledashcheva,Tatyana Ledashcheva,PERSON,0.0,0.0,en,1.0
Wu Zetian,Wu Zetian,PERSON,0.0,0.2222222222222222,en,1.0
Abd al-Malik,Abd al-Malik,PERSON,0.0,0.2222222222222222,en,1.0
Freezing rain,Freezing rain,PERSON,-0.1125,0.575,en,1.0
Yura Belyat feat,Yura Belyat feat,PERSON,0.0,0.0,en,1.0
Olya Nitka,Olya Nitka,PERSON,0.0,0.0,en,1.0
Alexey Pulin,Alexey Pulin,PERSON,0.0,0.5,en,1.0
Alexander Sh,Alexander Sh,PERSON,-0.1,0.1,en,1.0
Sergei Belov,Sergei Belov,PERSON,0.6,0.6,en,1.0
Alexei Putin,Alexei Putin,PERSON,0.0,0.0,en,1.0
The Noseless Emperor,The Noseless Emperor,PERSON,0.3,0.5,en,1.0
